시도명,시군구명_NEW,시군구명,읍면동명,리명
경상남도,함양군,함양군,병곡면,
경상남도,거창군,거창군,,
경상남도,거창군,거창군,거창읍,
경상남도,거창군,거창군,주상면,
경상남도,거창군,거창군,웅양면,
경상남도,거창군,거창군,고제면,
경상남도,거창군,거창군,북상면,
경상남도,거창군,거창군,위천면,
경상남도,거창군,거창군,마리면,
경상남도,거창군,거창군,남상면,
경상남도,거창군,거창군,남하면,
경상남도,거창군,거창군,신원면,
경상남도,거창군,거창군,가조면,
경상남도,거창군,거창군,가북면,
경상남도,합천군,합천군,,
경상남도,합천군,합천군,합천읍,
경상남도,합천군,합천군,봉산면,
경상남도,합천군,합천군,묘산면,
경상남도,합천군,합천군,가야면,
경상남도,합천군,합천군,야로면,
경상남도,합천군,합천군,율곡면,
경상남도,합천군,합천군,초계면,
경상남도,합천군,합천군,쌍책면,
경상남도,합천군,합천군,덕곡면,
경상남도,합천군,합천군,청덕면,
경상남도,합천군,합천군,적중면,
경상남도,합천군,합천군,대양면,
경상남도,합천군,합천군,쌍백면,
경상남도,합천군,합천군,삼가면,
경상남도,합천군,합천군,가회면,
경상남도,합천군,합천군,대병면,
경상남도,합천군,합천군,용주면,
 
